md5hash,fitzpatrick,fitzpatrick_centaur,label,nine_partition_label,three_partition_label,qc,url,url_alphanum,low,mid,high,hasher,REWT_weights,RESM_weights
988caf18c233893f4e0b378af98a5f5f,1,1,acne,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/a/acne_rosacae/acne_rosacae22.jpg,httpwwwdermaamincomsiteimagesclinicalpicaacnerosacaeacnerosacae22jpg.jpg,1,4,2,988caf18c233893f4e0b378af98a5f5f,1.049710400126734,0.0004878048780487
2d2d0ba5e028bc67190a33ec51f6dbf4,3,3,acne,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/a/acne_rosacae/acne_rosacae29.jpg,httpwwwdermaamincomsiteimagesclinicalpicaacnerosacaeacnerosacae29jpg.jpg,1,4,2,2d2d0ba5e028bc67190a33ec51f6dbf4,1.0162008279234411,0.0004206983592763
8e524f917df0d0e2d7679c021943eead,4,2,neurofibromatosis,genodermatoses,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/n/neurofibromatosis-von-reckling-hausen-syndrome/neurofibromatosis-von-reckling-hausen-syndrome16.jpg,httpwwwdermaamincomsiteimagesclinicalpicnneurofibromatosisvonrecklinghausensyndromeneurofibromatosisvonrecklinghausensyndrome16jpg.jpg,66,3,2,8e524f917df0d0e2d7679c021943eead,0.9610471985102512,0.0004732607666824
834e9fa384ec5c8dd11c5c5ad664c20f,2,3,porphyria,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/porphyria-cutanea-tarda/porphyria-cutanea-tarda76.jpg,httpwwwdermaamincomsiteimagesclinicalpicpporphyriacutaneatardaporphyriacutaneatarda76jpg.jpg,83,4,2,834e9fa384ec5c8dd11c5c5ad664c20f,1.0341127806575112,0.0002945508100147
937ebce76582341dc304fef48f018ede,3,3,pediculosis lids,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/pediculosis-pubis/pediculosis-pubis11.jpg,httpwwwdermaamincomsiteimagesclinicalpicppediculosispubispediculosispubis11jpg.jpg,73,4,2,937ebce76582341dc304fef48f018ede,1.0162008279234411,0.0004206983592763
4f528bf1928eb2aeb6fea903ef744a55,2,2,basal cell carcinoma,malignant epidermal,malignant,,http://atlasdermatologico.com.br/img?imageId=653,httpwwwatlasdermatologicocombrimgimageId653.jpg,8,7,1,4f528bf1928eb2aeb6fea903ef744a55,0.8741153030106127,0.0013477088948787
50ef304493d2ca4767c6def8079f1216,2,1,squamous cell carcinoma,malignant epidermal,malignant,,https://www.dermaamin.com/site/images/clinical-pic/s/squamous-cell-carcinoma/squamous-cell-carcinoma29.jpg,httpwwwdermaamincomsiteimagesclinicalpicssquamouscellcarcinomasquamouscellcarcinoma29jpg.jpg,98,7,1,50ef304493d2ca4767c6def8079f1216,0.8741153030106127,0.0013477088948787
d4993f80f9fe6e8e584b3e9dbd7244d3,2,1,photodermatoses,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/photosensitivity/photosensitivity4.jpg,httpwwwdermaamincomsiteimagesclinicalpicpphotosensitivityphotosensitivity4jpg.jpg,75,4,2,d4993f80f9fe6e8e584b3e9dbd7244d3,1.0341127806575112,0.0002945508100147
3d260ca5402a0f5f3bfbfd4a2e39fc4b,4,4,lichen planus,inflammatory,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=8386,httpwwwatlasdermatologicocombrimgimageId8386.jpg,48,4,2,3d260ca5402a0f5f3bfbfd4a2e39fc4b,0.9610471985102512,0.0004732607666824
750cae1e7d0714a2c5e1b7ef4230aaf7,1,1,papilomatosis confluentes and reticulate,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/papillomatosis-cutis-carcinoides/papillomatosis-cutis-carcinoides18.jpg,httpwwwdermaamincomsiteimagesclinicalpicppapillomatosiscutiscarcinoidespapillomatosiscutiscarcinoides18jpg.jpg,71,4,2,750cae1e7d0714a2c5e1b7ef4230aaf7,1.049710400126734,0.0004878048780487
